PLAYER,TEAM,OFFRTG,DEFRTG,NETRTG,AST%,ASTTO,ASTRAT,OREB%,DREB%,REB%,TORAT,EFG%,TS%,USG%,PACE,PIE,POSS
Donta Hall,BKN,102.5,114.5,-12,4.8,0.8,10.3,9.3,19.7,13.9,12.8,68.2,65.2,10.9,101.48,7.1,281
Gabe Vincent,MIA,89.1,105.1,-15.9,12,6,13.6,0,5.3,2.7,2.3,29.7,29.7,19.6,102.3,0.7,175
Ignas Brazdeikis,NYK,109.7,116.8,-7.1,11.4,2,13.3,3.6,6.8,5.1,6.7,29.5,35.1,21.8,94.65,1.8,103
Jarrell Brantley,UTA,90.7,107.7,-17,19.3,1.57,23.4,1.9,18.9,9.9,14.9,41.1,41.6,15.5,102.97,7.4,205
Jeremiah Martin,BKN,107.4,115.8,-8.4,30,4.5,22.2,1,8.9,4.9,4.9,50,54.1,26.8,104.38,13.3,216
Justin Robinson,WAS,110.9,81,29.9,19.4,2.33,31.8,2.2,9.8,5.7,13.6,54.2,54.2,13.3,99.08,7.7,101
Moses Brown,POR,90.8,141.7,-50.9,4.8,0.33,5.6,7.3,32.4,18.7,16.7,40,40.7,20,108.15,3.2,76
Vic Law,ORL,92.6,102.3,-9.7,8.6,1.5,11.5,2.9,14.5,8.5,7.7,36.1,36.3,15,102.38,3.1,135
Bol Bol,DEN,113.6,123.3,-9.8,10.3,0.6,12.5,5.7,17.1,11.2,20.8,57.1,61.7,20.6,98.55,8.2,177
Mychal Mulder,GSW,113.3,107.1,6.2,5.3,1.6,9.4,1.6,9.3,5.7,5.9,50.7,53.3,16.5,99.33,5,420
Tacko Fall,BOS,101.4,88.7,12.7,6.7,0.33,5.3,3.6,32.6,21.1,15.8,78.6,75.1,25,103.27,24.1,69
Brian Bowen II,IND,109.2,93.5,15.7,0,0,0,3.2,16.2,10.3,9.1,30,30,14.3,98.11,1.8,65
